Watching for file changes with StatReloader
[02/May/2026 19:47:44] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:47:44] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:47:45] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:45] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:47:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:48:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:48:52] "GET /api/v1/notifications/ HTTP/1.1" 200 417
[02/May/2026 19:48:52] "GET /api/v1/notifications/ HTTP/1.1" 200 417
[02/May/2026 19:48:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:49:17] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:17] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:18] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:49:18] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:49:19] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:49:19] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:49:20] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:49:20] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:49:22] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:22] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:23] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:49:23] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:49:23] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:49:23] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:49:23] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:49:24] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:49:24] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:49:25] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:49:25] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:49:25] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:49:25] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:49:26] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:26] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:49:26] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
